trip_id,ride_id,stop_number,location,wait_mins,km_to_next
8AE33B31,RID0001,1,Airport,15,2.24
2CF033F8,RID0002,1,Hospital,5,4.1
BD07DE82,RID0002,2,Mall,4,6.59
8BCC00D5,RID0003,1,Home,3,4.58
7219DC91,RID0003,2,Home,2,9.72
E21A3B76,RID0004,1,Hospital,12,7.5
C1668CB2,RID0004,2,Station,7,7.03
4FA272E7,RID0004,3,Hospital,12,1.73
A1B92C6F,RID0005,1,Home,13,9.63
B0A31B8B,RID0006,1,Office,10,6.99
84BEA11C,RID0006,2,Station,5,8.29
B0140381,RID0007,1,Home,15,2.26
2BC48212,RID0008,1,Hospital,10,7.11
A3764722,RID0008,2,Hospital,5,4.39
F209B13F,RID0008,3,Hospital,2,7.58
E59F4D77,RID0009,1,Office,12,4.6
692F243E,RID0009,2,Home,1,2.0
9B5B1655,RID0009,3,Station,0,9.33
C8B26B6C,RID0010,1,Station,14,6.84
FA893E11,RID0010,2,Hospital,14,3.15
46EAD823,RID0010,3,Home,10,4.3
AE723102,RID0011,1,Mall,13,8.9
1D8985ED,RID0011,2,Mall,2,7.41
476C40E0,RID0011,3,Office,12,10.32
A6458369,RID0012,1,Airport,11,10.91
C99D21F9,RID0012,2,Airport,0,8.74
FB2297D2,RID0013,1,Airport,9,10.52
9B086EA4,RID0013,2,Station,13,8.72
041CEB5B,RID0014,1,Home,10,8.83
E89985E0,RID0014,2,Hospital,12,5.79
62A79382,RID0015,1,Home,5,6.22
6280444C,RID0016,1,Office,12,10.28
DC9E29B9,RID0017,1,Hospital,4,4.17
14C0B3BD,RID0017,2,Home,4,2.48
C2EBCF2A,RID0018,1,Home,0,2.58
4A62DA04,RID0019,1,Home,13,11.72
7732A294,RID0019,2,Station,2,2.51
034BBA6B,RID0020,1,Hospital,13,7.86
6A220D58,RID0020,2,Hospital,13,7.07
DA0EE960,RID0021,1,Hospital,11,3.48
0C96298B,RID0021,2,Hospital,0,7.36
DDDC72C2,RID0022,1,Station,8,5.52
25DA26E7,RID0022,2,Office,11,1.37
